id	revise	num	name	about	growingSpeed	coin	weight
0	0	2	name0	about0	1	6	260
1	0	2	name1	시들어버린 청춘	0	0	1
2	0	2	name2	about2	1.2	20	15
3	0	2	name3	about3	1.4	40	8
4	0	2	name4	about4	1.6	90	1
5	0	2	name5	about5	1.8	180	1
6	0	2	name6	about6	2	77	4
7	0	2	name7	about7	2.2	60	5
8	0	2	name8	about8	2.4	50	8
9	0	2	name9	about9	2.6	110	2
10	0	2	name10	about10	2.8	120	2
11	0	2	name11	about11	3	150	1
12	0	2	name12	about12	3.2	160	1
13	0	2	name13	about13	3.4	100	2
14	0	2	name14	about14	3.6	200	1
15	0	2	name15	about15	3.8	200	1
16	16	2	name16	about16	4	50	10
17	16	2	name17	about17	4.2	50	15
18	16	2	name18	about18	4.4	300	3
19	16	2	name19	about19	4.6	410	1
20	16	2	name20	about20	4.8	1280	1
21	16	2	name21	about21	5	80	9
22	16	2	name22	about22	5.2	110	3
23	16	2	name23	about23	5.4	60	7
24	16	2	name24	about24	5.6	800	1
25	16	2	name25	about25	5.8	250	2
26	16	2	name26	about26	6	360	2
27	16	2	name27	about27	6.2	240	2
28	16	2	name28	about28	6.4	350	2
29	16	2	name29	about29	6.6	160	3
30	16	2	name30	about30	6.8	100	2
31	16	2	name31	about31	7	810	1
